frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,394.8328495025635,586.875,983.4375,,0.98399794,615.0,1180.3125,,1.0242201,633.75,1372.5,,1.0391681,661.875,1424.0625,,0.87230974,forward,180.0,1,493.125,983.4375,,0.9901841,460.3125,1185.0,,1.0430865,441.5625,1372.5,,1.0371848,427.5,1433.4375,,0.89065933,forward,180.0,1
1,0.03336666666666667,318.6192512512207,586.875,983.4375,,0.9862282,615.0,1185.0,,1.0256668,633.75,1372.5,,1.0384772,661.875,1424.0625,,0.8758681,forward,167.31962257946088,1,488.4375,983.4375,,0.9916231,460.3125,1185.0,,1.0436044,441.5625,1372.5,,1.0384948,427.5,1433.4375,,0.89451873,forward,180.0,1
2,0.06673333333333334,213.72604370117188,586.875,983.4375,,0.9878868,615.0,1185.0,,1.0275302,633.75,1372.5,,1.0396281,661.875,1424.0625,,0.8771766,forward,167.31962257946088,1,488.4375,983.4375,,0.9940921,460.3125,1185.0,,1.0434663,441.5625,1372.5,,1.0393695,427.5,1433.4375,,0.8946513,forward,180.0,1
3,0.10010000000000001,211.49325370788574,586.875,983.4375,,0.9854163,615.0,1185.0,,1.0266119,633.75,1372.5,,1.0394684,661.875,1424.0625,,0.8776505,forward,167.31962257946088,1,488.4375,983.4375,,0.99104226,460.3125,1185.0,,1.0382257,441.5625,1377.1875,,1.0386612,427.5,1433.4375,,0.89542794,forward,180.0,1
4,0.13346666666666668,202.55613327026367,582.1875,983.4375,,0.9856584,615.0,1185.0,,1.0265896,633.75,1372.5,,1.0396645,661.875,1424.0625,,0.8728958,forward,167.31962257946088,1,488.4375,983.4375,,0.992524,460.3125,1185.0,,1.0374142,441.5625,1372.5,,1.0375197,427.5,1433.4375,,0.89087784,forward,167.31962257946088,1
5,0.16683333333333333,196.07305526733398,582.1875,983.4375,,0.9918302,615.0,1185.0,,1.029156,633.75,1377.1875,,1.0410929,661.875,1424.0625,,0.8814156,forward,180.0,1,488.4375,983.4375,,0.9965667,455.625,1185.0,,1.0377095,441.5625,1377.1875,,1.0397184,427.5,1433.4375,,0.89611447,forward,180.0,1
6,0.20020000000000002,198.2409954071045,582.1875,983.4375,,0.98383164,615.0,1185.0,,1.0215852,629.0625,1377.1875,,1.0361911,657.1875,1424.0625,,0.87134326,forward,180.0,1,483.75,983.4375,,0.9889319,455.625,1185.0,,1.0296241,441.5625,1377.1875,,1.0316226,427.5,1433.4375,,0.89338493,forward,180.0,1
7,0.23356666666666667,193.09496879577637,582.1875,988.125,,0.9857377,615.0,1185.0,,1.0229715,629.0625,1372.5,,1.0359163,652.5,1424.0625,,0.8709562,forward,154.9388206989654,1,488.4375,988.125,,0.9916936,455.625,1189.6875,,1.0280812,441.5625,1372.5,,1.0315928,427.5,1433.4375,,0.8912269,forward,162.0302437067464,1
8,0.26693333333333336,191.35022163391113,582.1875,988.125,,0.9872072,610.3125,1185.0,,1.0229735,629.0625,1372.5,,1.0389075,647.8125,1424.0625,,0.8655139,forward,154.9388206989654,1,488.4375,988.125,,0.9932935,455.625,1185.0,,1.0293827,441.5625,1372.5,,1.0310702,427.5,1433.4375,,0.87946945,forward,154.9388206989654,1
9,0.3003,194.0608024597168,582.1875,988.125,,0.98892903,615.0,1185.0,,1.0207092,629.0625,1372.5,,1.0333611,647.8125,1424.0625,,0.86634314,forward,154.9388206989654,1,488.4375,988.125,,0.9917692,455.625,1185.0,,1.0247409,441.5625,1372.5,,1.0307438,427.5,1433.4375,,0.8890153,forward,154.9388206989654,1
10,0.33366666666666667,195.24025917053223,582.1875,992.8125,,0.98848885,615.0,1185.0,,1.0159987,629.0625,1372.5,,1.0326197,647.8125,1424.0625,,0.8684739,forward,149.77611789108212,1,488.4375,992.8125,,0.9946703,455.625,1185.0,,1.0208985,446.25,1372.5,,1.032313,427.5,1433.4375,,0.89152974,forward,149.77611789108212,1
11,0.3670333333333333,192.00372695922852,582.1875,992.8125,,0.98578274,615.0,1185.0,,1.0070664,629.0625,1372.5,,1.0307771,647.8125,1428.75,,0.87179506,forward,149.77611789108212,1,488.4375,992.8125,,0.989982,455.625,1185.0,,1.0121841,446.25,1372.5,,1.0315098,427.5,1438.125,,0.89236796,forward,149.77611789108212,1
12,0.40040000000000003,192.1694278717041,582.1875,992.8125,,0.9818716,615.0,1185.0,,1.004748,629.0625,1372.5,,1.0271748,647.8125,1424.0625,,0.8568218,forward,149.77611789108212,1,488.4375,997.5,,0.98514307,460.3125,1185.0,,1.0110445,446.25,1372.5,,1.0257766,427.5,1433.4375,,0.8727181,forward,145.79072228592298,1
13,0.4337666666666667,194.62895393371582,582.1875,992.8125,,0.98068565,615.0,1185.0,,1.0018969,629.0625,1372.5,,1.0221548,652.5,1424.0625,,0.8558327,forward,149.77611789108212,1,488.4375,997.5,,0.9842173,455.625,1185.0,,1.0113833,446.25,1372.5,,1.0232595,427.5,1433.4375,,0.8785944,forward,145.79072228592298,1
14,0.46713333333333334,195.10889053344727,582.1875,997.5,,0.9782599,619.6875,1185.0,,0.98797905,629.0625,1367.8125,,1.0206742,652.5,1424.0625,,0.85479784,forward,140.5013434132085,1,488.4375,997.5,,0.97986376,455.625,1185.0,,1.0001214,446.25,1372.5,,1.0200874,427.5,1433.4375,,0.8794838,forward,145.79072228592298,1
15,0.5005000000000001,196.84076309204102,586.875,997.5,,0.9846641,619.6875,1185.0,,0.9892701,629.0625,1367.8125,,1.0243434,652.5,1424.0625,,0.84526455,forward,140.5013434132085,1,488.4375,997.5,,0.9881639,455.625,1185.0,,1.0067725,446.25,1372.5,,1.0224576,427.5,1433.4375,,0.8673408,forward,145.79072228592298,1
16,0.5338666666666667,198.59886169433594,586.875,997.5,,0.9715746,619.6875,1185.0,,0.9839368,629.0625,1367.8125,,1.0193976,647.8125,1424.0625,,0.84136,forward,140.5013434132085,1,488.4375,997.5,,0.9756912,455.625,1185.0,,1.001966,446.25,1367.8125,,1.017766,427.5,1433.4375,,0.8577305,forward,140.5013434132085,1
17,0.5672333333333334,188.03977966308594,586.875,1002.1875,,0.97691953,624.375,1185.0,,0.9812355,629.0625,1367.8125,,1.0177616,647.8125,1424.0625,,0.8506404,forward,137.121093044034,1,488.4375,1002.1875,,0.9809505,455.625,1185.0,,0.9970511,446.25,1367.8125,,1.0197968,427.5,1433.4375,,0.8626083,forward,137.121093044034,1
18,0.6006,193.8951015472412,586.875,1002.1875,,0.976159,624.375,1185.0,,0.9765053,629.0625,1367.8125,,1.0165172,652.5,1428.75,,0.8421716,forward,137.121093044034,1,488.4375,1002.1875,,0.9791815,450.9375,1185.0,,0.9884231,446.25,1367.8125,,1.0142722,427.5,1433.4375,,0.84847176,forward,137.121093044034,1
19,0.6339666666666667,189.37277793884277,591.5625,1006.875,,0.9654101,624.375,1189.6875,,0.9655458,629.0625,1367.8125,,1.0098431,647.8125,1428.75,,0.8444265,forward,133.03668057561148,1,488.4375,1006.875,,0.96993506,450.9375,1189.6875,,0.9801508,446.25,1367.8125,,1.0067445,427.5,1433.4375,,0.8503181,forward,133.03668057561148,1
20,0.6673333333333333,189.75591659545898,591.5625,1006.875,,0.98456633,629.0625,1189.6875,,0.97252846,629.0625,1367.8125,,1.0166987,647.8125,1428.75,,0.8376653,forward,133.03668057561148,1,493.125,1011.5625,,0.99311304,446.25,1189.6875,,0.9880372,446.25,1367.8125,,1.0127598,427.5,1433.4375,,0.83897454,forward,130.0403589563427,1
21,0.7007,198.08626174926758,591.5625,1016.25,,0.9866775,629.0625,1189.6875,,0.973505,629.0625,1367.8125,,1.0120827,652.5,1428.75,,0.84598315,forward,127.31467675332256,1,493.125,1016.25,,0.99463284,446.25,1194.375,,0.9832659,446.25,1367.8125,,1.0108052,422.8125,1433.4375,,0.84704614,forward,126.57506574701239,1
