frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,399.3659019470215,,,,,,,,,,,,,,,,,,,,493.125,978.75,0,0.7792195,460.3125,1175.625,0,0.88583136,441.5625,1372.5,0,0.9478067,427.5,1442.8125,0,0.8156755,forward,175.97805156823628,1
1,0.03336666666666667,268.37611198425293,,,,,,,,,,,,,,,,,,,,488.4375,978.75,0,0.77628326,460.3125,1175.625,0,0.8812411,441.5625,1372.5,0,0.9472775,427.5,1442.8125,0,0.81606907,forward,177.31022753598617,1
2,0.06673333333333334,281.5072536468506,,,,,,,,,,,,,,,,,,,,488.4375,978.75,0,0.78133696,460.3125,1180.3125,0,0.88322264,441.5625,1372.5,0,0.9460434,427.5,1442.8125,0,0.82016665,forward,177.62867147782273,1
3,0.10010000000000001,284.6829891204834,,,,,,,,,,,,,,,,,,,,488.4375,978.75,0,0.7787074,460.3125,1180.3125,0,0.88374174,441.5625,1372.5,0,0.9468272,427.5,1442.8125,0,0.8174743,forward,177.62867147782273,1
4,0.13346666666666668,261.96980476379395,,,,,,,,,,,,,,,,,,,,488.4375,978.75,0,0.77878845,460.3125,1180.3125,0,0.8799459,441.5625,1377.1875,0,0.9459929,427.5,1442.8125,0,0.8181895,forward,177.4968852578669,1
5,0.16683333333333333,262.7420425415039,,,,,,,,,,,,,,,,,,,,483.75,978.75,0,0.7813649,455.625,1180.3125,0,0.8794111,441.5625,1377.1875,0,0.9464555,427.5,1442.8125,0,0.81535244,forward,176.14217136282284,1
6,0.20020000000000002,258.12292098999023,,,,,,,,,,,,,,,,,,,,483.75,983.4375,0,0.7811743,455.625,1180.3125,0,0.881152,441.5625,1377.1875,0,0.9454408,427.5,1447.5,0,0.8173448,forward,175.95557052222773,1
7,0.23356666666666667,256.78014755249023,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.78501225,455.625,1180.3125,0,0.8825245,441.5625,1372.5,0,0.9443216,427.5,1447.5,0,0.81717813,forward,175.85924528195656,1
8,0.26693333333333336,257.753849029541,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.78132796,455.625,1180.3125,0,0.87801814,441.5625,1372.5,0,0.94667315,427.5,1442.8125,0,0.82105386,forward,175.85924528195656,1
9,0.3003,251.78194046020508,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.77738917,455.625,1180.3125,0,0.8840642,441.5625,1372.5,0,0.9527474,422.8125,1447.5,0,0.8196355,forward,175.85924528195656,1
10,0.33366666666666667,254.84895706176758,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.7715302,455.625,1180.3125,0,0.881032,441.5625,1372.5,0,0.9535803,422.8125,1442.8125,0,0.81870425,forward,175.85924528195656,1
11,0.3670333333333333,253.02624702453613,,,,,,,,,,,,,,,,,,,,488.4375,988.125,0,0.76661193,460.3125,1180.3125,0,0.879024,441.5625,1372.5,0,0.9571924,422.8125,1442.8125,0,0.8181623,forward,177.24643395183074,1
12,0.40040000000000003,254.05120849609375,,,,,,,,,,,,,,,,,,,,483.75,988.125,0,0.759434,460.3125,1180.3125,0,0.8673289,441.5625,1372.5,0,0.95968664,422.8125,1442.8125,0,0.8208878,forward,178.61930657988776,1
13,0.4337666666666667,264.7237777709961,,,,,,,,,,,,,,,,,,,,488.4375,992.8125,0,0.7655358,460.3125,1180.3125,0,0.8702655,441.5625,1372.5,0,0.9575471,422.8125,1447.5,0,0.8210856,forward,177.0413678880222,1
14,0.46713333333333334,252.81786918640137,,,,,,,,,,,,,,,,,,,,488.4375,992.8125,0,0.7629411,460.3125,1180.3125,0,0.8705927,441.5625,1372.5,0,0.9602835,422.8125,1442.8125,0,0.8222952,forward,177.0413678880222,1
15,0.5005000000000001,255.05614280700684,,,,,,,,,,,,,,,,,,,,488.4375,997.5,0,0.76056945,460.3125,1180.3125,0,0.8702414,441.5625,1372.5,0,0.9595831,422.8125,1442.8125,0,0.82256824,forward,176.8260232684548,1
