frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,375.06723403930664,,,,,,,,,,,,,,,,,,,,432.1875,941.25,,0.8087083,493.125,1110.0,,0.87483084,422.8125,1302.1875,,0.8532611,507.1875,1367.8125,,0.7910596,right,140.04955443877415,1
1,0.03336666666666667,321.2559223175049,,,,,,,,,,,,,,,,,,,,432.1875,936.5625,,0.8092977,488.4375,1110.0,,0.87358725,422.8125,1306.875,,0.8483882,516.5625,1363.125,,0.8125839,right,143.59591143692094,1
2,0.06673333333333334,201.56002044677734,,,,,,,,,,,,,,,,,,,,432.1875,941.25,,0.825694,479.0625,1114.6875,,0.8727319,422.8125,1311.5625,,0.86235154,516.5625,1363.125,,0.8446026,right,148.93059679076654,1
3,0.10010000000000001,251.5251636505127,,,,,,,,,,,,,,,,,,,,432.1875,941.25,,0.8377907,465.0,1110.0,,0.89951694,422.8125,1311.5625,,0.8833618,516.5625,1363.125,,0.8616253,right,157.1749708076432,1
4,0.13346666666666668,195.91426849365234,,,,,,,,,,,,,,,,,,,,432.1875,936.5625,,0.82139415,455.625,1114.6875,,0.907723,418.125,1316.25,,0.8902446,516.5625,1367.8125,,0.86882746,right,161.96495863164193,1
5,0.16683333333333333,197.65901565551758,,,,,,,,,,,,,,,,,,,,427.5,936.5625,,0.845683,450.9375,1114.6875,,0.9241791,418.125,1316.25,,0.90013003,511.875,1363.125,,0.8864529,right,163.258029614707,1
6,0.20020000000000002,192.3670768737793,,,,,,,,,,,,,,,,,,,,427.5,941.25,,0.8877628,441.5625,1119.375,,0.9469459,413.4375,1316.25,,0.92058975,511.875,1363.125,,0.89315796,right,167.35590918784277,1
7,0.23356666666666667,198.41408729553223,,,,,,,,,,,,,,,,,,,,422.8125,936.5625,,0.8725618,441.5625,1119.375,,0.94730365,413.4375,1320.9375,,0.92215157,511.875,1363.125,,0.9020091,right,166.2005146039806,1
8,0.26693333333333336,195.95980644226074,,,,,,,,,,,,,,,,,,,,422.8125,936.5625,,0.85955936,436.875,1114.6875,,0.93244624,413.4375,1320.9375,,0.91062504,516.5625,1363.125,,0.8948534,right,169.00293784910147,1
9,0.3003,198.55999946594238,,,,,,,,,,,,,,,,,,,,418.125,941.25,,0.89151776,436.875,1119.375,,0.9499343,413.4375,1320.9375,,0.9211265,516.5625,1363.125,,0.9023581,right,167.35847942736712,1
10,0.33366666666666667,193.00413131713867,,,,,,,,,,,,,,,,,,,,418.125,941.25,,0.88508797,432.1875,1119.375,,0.9521939,413.4375,1320.9375,,0.92474884,511.875,1363.125,,0.9029945,right,170.1714658720541,1
11,0.3670333333333333,193.7258243560791,,,,,,,,,,,,,,,,,,,,418.125,941.25,,0.9061471,427.5,1124.0625,,0.96390253,413.4375,1325.625,,0.93686736,511.875,1363.125,,0.89155847,right,173.07341345514902,1
12,0.40040000000000003,195.93501091003418,,,,,,,,,,,,,,,,,,,,422.8125,941.25,,0.8721546,427.5,1119.375,,0.9552203,413.4375,1320.9375,,0.93337977,511.875,1363.125,,0.9018181,right,174.50165114279542,1
13,0.4337666666666667,195.84321975708008,,,,,,,,,,,,,,,,,,,,422.8125,941.25,,0.890108,427.5,1124.0625,,0.97231793,408.75,1325.625,,0.95200574,511.875,1367.8125,,0.9065179,right,173.21665361566951,1
14,0.46713333333333334,195.31989097595215,,,,,,,,,,,,,,,,,,,,422.8125,941.25,,0.88772607,427.5,1119.375,,0.9780786,408.75,1325.625,,0.9540119,507.1875,1367.8125,,0.89738405,right,173.2981353334902,1
15,0.5005000000000001,194.38576698303223,,,,,,,,,,,,,,,,,,,,422.8125,936.5625,,0.8919593,422.8125,1119.375,,0.97805035,408.75,1325.625,,0.954653,507.1875,1367.8125,,0.892701,right,176.09950625761812,1
16,0.5338666666666667,193.6631202697754,,,,,,,,,,,,,,,,,,,,422.8125,936.5625,,0.86645937,422.8125,1119.375,,0.9711884,408.75,1325.625,,0.9460652,507.1875,1367.8125,,0.89493525,right,176.09950625761812,1
17,0.5672333333333334,193.68696212768555,,,,,,,,,,,,,,,,,,,,422.8125,936.5625,,0.8859229,422.8125,1124.0625,,0.9784347,408.75,1325.625,,0.9476363,507.1875,1363.125,,0.88646823,right,176.0090869015702,1
18,0.6006,194.20599937438965,,,,,,,,,,,,,,,,,,,,422.8125,936.5625,,0.8736273,422.8125,1124.0625,,0.9750956,408.75,1325.625,,0.9366697,507.1875,1363.125,,0.8805618,right,176.0090869015702,1
19,0.6339666666666667,194.84329223632812,,,,,,,,,,,,,,,,,,,,422.8125,936.5625,,0.8658031,427.5,1119.375,,0.9612411,408.75,1320.9375,,0.91860175,507.1875,1363.125,,0.8652826,right,173.21665361566951,1
20,0.6673333333333333,194.86069679260254,,,,,,,,,,,,,,,,,,,,427.5,931.875,,0.84660506,432.1875,1114.6875,,0.96105015,413.4375,1320.9375,,0.92676497,507.1875,1363.125,,0.8897861,right,173.33677037787945,1
21,0.7007,192.2013759613037,,,,,,,,,,,,,,,,,,,,427.5,931.875,,0.8496036,436.875,1119.375,,0.95423234,413.4375,1320.9375,,0.91440904,507.1875,1363.125,,0.86399174,right,170.5050801587498,1
22,0.7340666666666666,192.75307655334473,,,,,,,,,,,,,,,,,,,,432.1875,931.875,,0.8516145,441.5625,1119.375,,0.9524691,413.4375,1320.9375,,0.90490127,507.1875,1363.125,,0.85359323,right,169.19412296329799,1
23,0.7674333333333333,196.08211517333984,,,,,,,,,,,,,,,,,,,,432.1875,931.875,,0.8393175,441.5625,1119.375,,0.94070184,413.4375,1316.25,,0.89137995,511.875,1363.125,,0.8538213,right,169.0074924197324,1
24,0.8008000000000001,215.76595306396484,,,,,,,,,,,,,,,,,,,,432.1875,936.5625,,0.81203187,446.25,1119.375,,0.9060329,418.125,1316.25,,0.8559598,511.875,1363.125,,0.809208,right,167.47119229084848,1
25,0.8341666666666667,196.9168186187744,,,,,,,,,,,,,,,,,,,,432.1875,941.25,,0.8664968,446.25,1124.0625,,0.94484854,413.4375,1320.9375,,0.8827145,511.875,1363.125,,0.82336384,right,166.13897243697886,1
26,0.8675333333333334,196.03514671325684,,,,,,,,,,,,,,,,,,,,436.875,936.5625,,0.8695928,446.25,1119.375,,0.949157,413.4375,1316.25,,0.90553844,511.875,1358.4375,,0.85622334,right,167.60200434555318,1
27,0.9009,221.59504890441895,,,,,,,,,,,,,,,,,,,,436.875,931.875,,0.8516921,446.25,1119.375,,0.94189173,408.75,1316.25,,0.8964692,511.875,1358.4375,,0.8669401,right,166.35329690632568,1
28,0.9342666666666667,197.28684425354004,,,,,,,,,,,,,,,,,,,,436.875,931.875,,0.85990155,446.25,1119.375,,0.9484642,413.4375,1316.25,,0.9059756,511.875,1353.75,,0.8820013,right,167.67527256586266,1
29,0.9676333333333333,198.49324226379395,,,,,,,,,,,,,,,,,,,,436.875,931.875,,0.85149086,446.25,1119.375,,0.950037,408.75,1316.25,,0.9078779,511.875,1358.4375,,0.88303965,right,166.35329690632568,1
30,1.0010000000000001,190.23609161376953,,,,,,,,,,,,,,,,,,,,436.875,936.5625,,0.8912843,441.5625,1119.375,,0.9648551,408.75,1316.25,,0.9232329,511.875,1358.4375,,0.880054,right,169.06887707758858,1
31,1.0343666666666667,187.84213066101074,,,,,,,,,,,,,,,,,,,,436.875,931.875,,0.88954556,436.875,1119.375,,0.9683702,408.75,1316.25,,0.922686,511.875,1358.4375,,0.8919412,right,171.8698976458441,1
32,1.0677333333333334,191.79177284240723,,,,,,,,,,,,,,,,,,,,432.1875,931.875,,0.8809961,436.875,1119.375,,0.96473044,408.75,1320.9375,,0.91657245,511.875,1358.4375,,0.8912507,right,170.62443200524493,1
33,1.1011,194.95415687561035,,,,,,,,,,,,,,,,,,,,432.1875,931.875,,0.8630155,432.1875,1119.375,,0.9680358,408.75,1320.9375,,0.9233655,511.875,1358.4375,,0.91051507,right,173.36748538486157,1
34,1.1344666666666667,194.0898895263672,,,,,,,,,,,,,,,,,,,,427.5,936.5625,,0.90678823,432.1875,1124.0625,,0.98489547,408.75,1320.9375,,0.9440774,511.875,1358.4375,,0.90496194,right,171.77892924139672,1
35,1.1678333333333333,193.80831718444824,,,,,,,,,,,,,,,,,,,,427.5,936.5625,,0.8991236,427.5,1124.0625,,0.9797567,408.75,1320.9375,,0.94284964,511.875,1358.4375,,0.9027491,right,174.55966796899472,1
36,1.2012,195.68681716918945,,,,,,,,,,,,,,,,,,,,427.5,936.5625,,0.8758683,427.5,1124.0625,,0.98117006,408.75,1320.9375,,0.9409797,507.1875,1358.4375,,0.9176012,right,174.55966796899472,1
37,1.2345666666666666,195.404052734375,,,,,,,,,,,,,,,,,,,,427.5,931.875,,0.85960317,432.1875,1119.375,,0.97471523,408.75,1320.9375,,0.9360454,511.875,1358.4375,,0.9258927,right,171.93538920069707,1
38,1.2679333333333334,194.6580410003662,,,,,,,,,,,,,,,,,,,,422.8125,936.5625,,0.89411795,427.5,1124.0625,,0.97093356,408.75,1325.625,,0.9320759,511.875,1353.75,,0.8948181,right,173.2533581458906,1
