frame,timeframe,frame_processing_time_ms,left_hip_x,left_hip_y,left_hip_z,left_hip_conf,left_knee_x,left_knee_y,left_knee_z,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_conf,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_conf,left_foot_direction,left_knee_angle,left_knee_incorrect,right_hip_x,right_hip_y,right_hip_z,right_hip_conf,right_knee_x,right_knee_y,right_knee_z,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_conf,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_conf,right_foot_direction,right_knee_angle,right_knee_incorrect
0,0.0,406.08692169189453,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.78933805,338.4375,1077.1875,,0.76500106,319.6875,1222.5,,0.8180754,399.375,1260.0,,0.67069817,right,174.19579260709952,1
1,0.016683333333333335,373.5809326171875,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7903044,338.4375,1077.1875,,0.7663084,319.6875,1222.5,,0.8202501,399.375,1260.0,,0.67516255,right,174.19579260709952,1
2,0.03336666666666667,237.26892471313477,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.78773546,338.4375,1072.5,,0.7638992,319.6875,1222.5,,0.8203745,399.375,1260.0,,0.67701364,right,174.46614646568486,1
3,0.050050000000000004,275.1460075378418,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7870188,338.4375,1072.5,,0.7634553,319.6875,1222.5,,0.8184258,399.375,1260.0,,0.67481035,right,174.46614646568486,1
4,0.06673333333333334,223.03199768066406,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.78573525,338.4375,1077.1875,,0.7631664,319.6875,1222.5,,0.82097054,399.375,1260.0,,0.678481,right,174.19579260709952,1
5,0.08341666666666667,232.9869270324707,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7878875,338.4375,1072.5,,0.76344585,319.6875,1222.5,,0.82120275,399.375,1260.0,,0.67565966,right,174.46614646568486,1
6,0.10010000000000001,221.65298461914062,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.78855634,338.4375,1072.5,,0.7632967,319.6875,1222.5,,0.82163024,399.375,1260.0,,0.67843705,right,174.46614646568486,1
7,0.11678333333333334,231.20903968811035,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7904022,338.4375,1072.5,,0.7675899,319.6875,1222.5,,0.8262022,399.375,1260.0,,0.6831336,right,174.46614646568486,1
8,0.13346666666666668,224.86495971679688,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7813449,338.4375,1072.5,,0.7618737,319.6875,1222.5,,0.82009625,399.375,1260.0,,0.67278934,right,174.46614646568486,1
9,0.15015,224.9588966369629,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.78304875,338.4375,1072.5,,0.7608666,319.6875,1222.5,,0.81849885,399.375,1260.0,,0.6698561,right,174.46614646568486,1
10,0.16683333333333333,225.57592391967773,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.78109086,338.4375,1072.5,,0.7592908,319.6875,1222.5,,0.8148978,399.375,1260.0,,0.66280276,right,174.46614646568486,1
11,0.18351666666666666,219.3608283996582,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7810177,338.4375,1072.5,,0.7604366,319.6875,1222.5,,0.8152546,399.375,1260.0,,0.6613621,right,174.46614646568486,1
12,0.20020000000000002,227.69904136657715,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.78542876,338.4375,1072.5,,0.76591927,319.6875,1222.5,,0.8199103,399.375,1260.0,,0.66268176,right,174.46614646568486,1
13,0.21688333333333334,227.40817070007324,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7956742,338.4375,1072.5,,0.7739022,319.6875,1222.5,,0.82718587,399.375,1260.0,,0.6702932,right,174.46614646568486,1
14,0.23356666666666667,223.6311435699463,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7984694,338.4375,1072.5,,0.77532303,319.6875,1222.5,,0.8267737,399.375,1260.0,,0.66722983,right,174.46614646568486,1
15,0.25025000000000003,221.5738296508789,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.79474056,338.4375,1072.5,,0.7724249,319.6875,1222.5,,0.8234233,394.6875,1260.0,,0.6651484,right,174.46614646568486,1
16,0.26693333333333336,220.33381462097168,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7812369,338.4375,1072.5,,0.7603041,319.6875,1222.5,,0.8149526,399.375,1260.0,,0.655358,right,174.46614646568486,1
17,0.2836166666666667,225.09193420410156,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.77660483,338.4375,1072.5,,0.7534317,319.6875,1222.5,,0.8109032,399.375,1260.0,,0.65214336,right,174.46614646568486,1
18,0.3003,219.1009521484375,,,,,,,,,,,,,,,,,,,,347.8125,903.75,,0.7730814,338.4375,1077.1875,,0.75051534,319.6875,1227.1875,,0.8080428,399.375,1264.6875,,0.6484747,right,175.969102428033,1
19,0.31698333333333334,228.3761501312256,,,,,,,,,,,,,,,,,,,,347.8125,908.4375,,0.78179,338.4375,1077.1875,,0.75894123,319.6875,1227.1875,,0.8133184,394.6875,1264.6875,,0.65557575,right,176.05478855057535,1
20,0.33366666666666667,218.886137008667,,,,,,,,,,,,,,,,,,,,347.8125,908.4375,,0.78481936,343.125,1077.1875,,0.76141727,319.6875,1227.1875,,0.81468594,394.6875,1264.6875,,0.655571,right,172.7104810494029,1
21,0.35035,222.28384017944336,,,,,,,,,,,,,,,,,,,,347.8125,908.4375,,0.77572954,343.125,1077.1875,,0.75365204,319.6875,1227.1875,,0.8044742,394.6875,1264.6875,,0.6425015,right,172.7104810494029,1
22,0.3670333333333333,218.45197677612305,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.77120954,338.4375,1077.1875,,0.75494945,319.6875,1222.5,,0.8076606,394.6875,1264.6875,,0.64420784,right,174.19579260709952,1
23,0.38371666666666665,219.18368339538574,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7719147,338.4375,1072.5,,0.759555,319.6875,1222.5,,0.8083046,394.6875,1264.6875,,0.6437545,right,174.46614646568486,1
24,0.40040000000000003,206.6807746887207,,,,,,,,,,,,,,,,,,,,343.125,908.4375,,0.77762437,338.4375,1072.5,,0.7624601,319.6875,1222.5,,0.8104576,394.6875,1264.6875,,0.6528501,right,174.5115556838606,1
25,0.41708333333333336,217.88811683654785,,,,,,,,,,,,,,,,,,,,343.125,908.4375,,0.7797257,338.4375,1072.5,,0.7658335,319.6875,1222.5,,0.814132,399.375,1260.0,,0.6588581,right,174.5115556838606,1
26,0.4337666666666667,216.6299819946289,,,,,,,,,,,,,,,,,,,,343.125,908.4375,,0.7923715,338.4375,1077.1875,,0.7740338,319.6875,1222.5,,0.8214961,399.375,1264.6875,,0.6736666,right,174.23873697902445,1
27,0.45045,218.75405311584473,,,,,,,,,,,,,,,,,,,,343.125,908.4375,,0.7979964,338.4375,1077.1875,,0.7788972,319.6875,1222.5,,0.823333,399.375,1264.6875,,0.6708901,right,174.23873697902445,1
28,0.46713333333333334,214.59293365478516,,,,,,,,,,,,,,,,,,,,343.125,903.75,,0.7922061,338.4375,1077.1875,,0.77404493,319.6875,1222.5,,0.81857675,399.375,1264.6875,,0.6598191,right,174.19579260709952,1
29,0.4838166666666667,233.10279846191406,,,,,,,,,,,,,,,,,,,,338.4375,908.4375,,0.7954911,338.4375,1077.1875,,0.77459145,319.6875,1222.5,,0.8167343,399.375,1264.6875,,0.6615546,right,172.64763418244885,1
30,0.5005000000000001,220.5500602722168,,,,,,,,,,,,,,,,,,,,338.4375,903.75,,0.77055025,338.4375,1077.1875,,0.7574106,319.6875,1222.5,,0.7994591,399.375,1264.6875,,0.6418518,right,172.64760749604596,1
31,0.5171833333333333,232.01823234558105,,,,,,,,,,,,,,,,,,,,338.4375,903.75,,0.76737595,338.4375,1072.5,,0.7565257,319.6875,1222.5,,0.79408854,399.375,1264.6875,,0.632331,right,172.8750037602196,1
32,0.5338666666666667,230.241060256958,,,,,,,,,,,,,,,,,,,,338.4375,903.75,,0.7786932,338.4375,1072.5,,0.7669662,319.6875,1222.5,,0.79635733,399.375,1264.6875,,0.6317191,right,172.8750037602196,1
33,0.55055,226.97091102600098,,,,,,,,,,,,,,,,,,,,338.4375,903.75,,0.7835416,338.4375,1072.5,,0.77028805,319.6875,1222.5,,0.8001579,394.6875,1264.6875,,0.6397952,right,172.8750037602196,1
34,0.5672333333333334,232.55300521850586,,,,,,,,,,,,,,,,,,,,338.4375,903.75,,0.79258525,338.4375,1072.5,,0.775859,319.6875,1222.5,,0.80526847,394.6875,1264.6875,,0.6438663,right,172.8750037602196,1
35,0.5839166666666666,226.29117965698242,,,,,,,,,,,,,,,,,,,,333.75,903.75,,0.7847667,338.4375,1072.5,,0.778106,319.6875,1222.5,,0.8058182,399.375,1264.6875,,0.6419869,right,171.28386168132926,1
36,0.6006,231.35018348693848,,,,,,,,,,,,,,,,,,,,333.75,903.75,,0.7635449,338.4375,1067.8125,,0.76339495,319.6875,1222.5,,0.7897285,399.375,1260.0,,0.63291466,right,171.45219652364466,1
37,0.6172833333333333,211.85827255249023,,,,,,,,,,,,,,,,,,,,333.75,903.75,,0.77960736,338.4375,1067.8125,,0.7787267,319.6875,1222.5,,0.8020609,399.375,1260.0,,0.64261734,right,171.45219652364466,1
38,0.6339666666666667,227.79393196105957,,,,,,,,,,,,,,,,,,,,329.0625,899.0625,,0.7789024,338.4375,1063.125,,0.77927536,319.6875,1222.5,,0.80309016,399.375,1264.6875,,0.64436746,right,170.0196585208158,1
39,0.6506500000000001,229.86912727355957,,,,,,,,,,,,,,,,,,,,329.0625,899.0625,,0.7830353,338.4375,1063.125,,0.78180575,319.6875,1222.5,,0.80582756,399.375,1260.0,,0.64641714,right,170.0196585208158,1
40,0.6673333333333333,216.61710739135742,,,,,,,,,,,,,,,,,,,,333.75,899.0625,,0.78973097,338.4375,1067.8125,,0.7912956,319.6875,1222.5,,0.818611,399.375,1264.6875,,0.66303885,right,171.49762592553412,1
41,0.6840166666666667,216.8440818786621,,,,,,,,,,,,,,,,,,,,329.0625,899.0625,,0.77752185,338.4375,1063.125,,0.7799321,319.6875,1222.5,,0.8060404,399.375,1264.6875,,0.65373343,right,170.0196585208158,1
42,0.7007,216.66312217712402,,,,,,,,,,,,,,,,,,,,329.0625,903.75,,0.776146,338.4375,1067.8125,,0.7765911,319.6875,1222.5,,0.7994696,399.375,1264.6875,,0.6462905,right,169.81829268425463,1
43,0.7173833333333334,217.3941135406494,,,,,,,,,,,,,,,,,,,,329.0625,903.75,,0.7844515,338.4375,1067.8125,,0.78214955,319.6875,1222.5,,0.8090607,399.375,1264.6875,,0.6499963,right,169.81829268425463,1
44,0.7340666666666666,216.26591682434082,,,,,,,,,,,,,,,,,,,,329.0625,903.75,,0.78890216,338.4375,1067.8125,,0.7818419,319.6875,1222.5,,0.8086215,399.375,1260.0,,0.6512047,right,169.81829268425463,1
45,0.75075,231.39572143554688,,,,,,,,,,,,,,,,,,,,329.0625,903.75,,0.78496003,338.4375,1067.8125,,0.77495193,319.6875,1227.1875,,0.8080822,399.375,1264.6875,,0.6511732,right,170.0196585208158,1
46,0.7674333333333333,226.59611701965332,,,,,,,,,,,,,,,,,,,,329.0625,903.75,,0.78564733,338.4375,1072.5,,0.7703205,319.6875,1227.1875,,0.79934597,399.375,1264.6875,,0.64226925,right,169.9089326851993,1
47,0.7841166666666667,222.72396087646484,,,,,,,,,,,,,,,,,,,,329.0625,903.75,,0.78494453,343.125,1067.8125,,0.77353185,319.6875,1227.1875,,0.8029394,399.375,1264.6875,,0.6455524,right,166.7350327339767,1
48,0.8008000000000001,219.83814239501953,,,,,,,,,,,,,,,,,,,,329.0625,899.0625,,0.7826675,338.4375,1067.8125,,0.77816856,319.6875,1227.1875,,0.8097081,399.375,1264.6875,,0.65627277,right,170.11033532609827,1
49,0.8174833333333333,220.63207626342773,,,,,,,,,,,,,,,,,,,,324.375,903.75,,0.78461313,338.4375,1072.5,,0.772128,319.6875,1227.1875,,0.8060193,399.375,1264.6875,,0.6524042,right,168.3251259906429,1
50,0.8341666666666667,218.994140625,,,,,,,,,,,,,,,,,,,,324.375,903.75,,0.78326774,343.125,1072.5,,0.7694111,324.375,1227.1875,,0.80136096,399.375,1264.6875,,0.65250266,right,166.74859843945504,1
51,0.85085,218.98484230041504,,,,,,,,,,,,,,,,,,,,324.375,899.0625,,0.78295237,338.4375,1067.8125,,0.7723405,324.375,1227.1875,,0.8062861,399.375,1264.6875,,0.6543119,right,170.19387912315568,1
52,0.8675333333333334,222.3820686340332,,,,,,,,,,,,,,,,,,,,324.375,903.75,,0.7805705,338.4375,1067.8125,,0.77428013,324.375,1227.1875,,0.8127389,399.375,1264.6875,,0.6660193,right,170.05845366326034,1
